"Word","mean_valence","mean_arousal","mean_conc","mean_humor"
"kampung",6.01123595505618,4.01219512195122,4.08064516129032,1.9344262295082
"kar chng",5.3015873015873,5.54237288135593,3.65909090909091,3.59183673469388
"kar pak",5.06896551724138,4.09615384615385,3.66666666666667,2.84090909090909
"kaypoh",5.03333333333333,5.80246913580247,2.93650793650794,3.32258064516129
"kayu",4.51063829787234,5.52777777777778,2.8125,2.85294117647059
"kee siao",3.83132530120482,6.43037974683544,2.43859649122807,3.55555555555556
"keling kia",3.93478260869565,5.97058823529412,3.23333333333333,2.64516129032258
"kena",4.24444444444444,5.41463414634146,2.47619047619048,3.2258064516129
"kena sai",3.87640449438202,6.67073170731707,1.73015873015873,3.62903225806452
"kenz",5.28260869565217,4.57142857142857,2.34615384615385,3
"ki chia",4.6,5.22727272727273,2.55555555555556,3.125
"kiam",4.43589743589744,5.24390243902439,2.76,2.66666666666667
"kiam pa",4.10869565217391,6.06818181818182,2.71875,3.66666666666667
"kiasi",4.21951219512195,5.64935064935065,2.38983050847458,3.12068965517241
"kiasu",4.3,5.53658536585366,2.68253968253968,2.74193548387097
"kilat",5.19354838709677,5.37037037037037,2.94736842105263,2.33333333333333
"kong ka kiao",3.8,6.2,2.6875,3.36
"kopi",7.01123595505618,4.89024390243902,4.68253968253968,2.04838709677419
"kopitiam",7.08888888888889,4.34146341463415,4.52380952380952,1.7741935483871
"koyah",4.26470588235294,5.57142857142857,3.15,2.90909090909091
"ku ku jiao",4.26436781609195,6.22368421052632,3.87096774193548,3.60655737704918
"la sai",3.90322580645161,5.25641025641026,2.52173913043478,2.6
"lagi",5.37179487179487,5.33333333333333,1.85714285714286,2.81481481481481
"lah",6.1,4.32926829268293,1.52459016393443,2.38709677419355
"lan jiao",3.97727272727273,6.70512820512821,3.25806451612903,3.49180327868852
"lao lan",4.06060606060606,5.2,2.45,3.04761904761905
"lao pei huet",4.34782608695652,5,2.89473684210526,3.0625
"lao sai",3.87777777777778,6.24390243902439,4.25396825396825,3.51612903225806
"leh",5.8314606741573,4.6125,1.57142857142857,2.56451612903226
"leh chey",4.32432432432432,5.21875,2.19642857142857,2.94339622641509
"lepak",7.29411764705882,3.50666666666667,3.56451612903226,3.08196721311475
"liao",5.98876404494382,4.32098765432099,1.6984126984127,2.44262295081967
"liddat",5.64444444444444,4.33333333333333,1.88888888888889,3.12903225806452
"liek boh kiew",3.94117647058824,5.15384615384615,2.41666666666667,3.25
"limbu",4.63793103448276,5.38181818181818,3.46153846153846,3.17777777777778
"limpeh",4.83720930232558,5.8625,3.66101694915254,3.7258064516129
"lobang",6.86516853932584,4.8,3.22950819672131,2.77049180327869
"lombang",6.04545454545455,5.125,3.35483870967742,2.64516129032258
"long zhong",5.63793103448276,5.59322033898305,2.75609756097561,2.89583333333333
"lor",5.62921348314607,4.25925925925926,1.63934426229508,2.5
"luan",4.39130434782609,5.48275862068965,2.86,2.60869565217391
"lun zun",4.475,5.53333333333333,2.96428571428571,2.97222222222222
"macam",5.77464788732394,4.97101449275362,2.03703703703704,3.10526315789474
"mafan",4.11111111111111,5.69512195121951,2.58730158730159,2.69354838709677
"mah",5.67816091954023,4.42105263157895,1.40983606557377,2.59677419354839
"makan",7.86666666666667,5.20731707317073,4.52380952380952,2.08064516129032
"makcik",6.05194805194805,4.25,4.09259259259259,2.65
"malu",3.88333333333333,5.3448275862069,2.85416666666667,3
"mampat",4.7,5.72222222222222,2.5,2.625
"mang zang",4.07317073170732,5.64864864864865,2.29166666666667,2.64
"masak-masak",5.6304347826087,4.60975609756098,3.45454545454545,2.8
"mata",4.51315789473684,5.28571428571429,4.08771929824561,2.60344827586207
"mati",3.39189189189189,5.45714285714286,3.55357142857143,2.82352941176471
"meh",5.42222222222222,3.59259259259259,1.6031746031746,2.64516129032258
"mong cha cha",4.55555555555556,4.91666666666667,2.32142857142857,3.37931034482759
"mug",4.66666666666667,5.32051282051282,3.63793103448276,3
"neh neh",4.72093023255814,5.82051282051282,3.37704918032787,3.57627118644068
"neh neh pok",4.25842696629214,6.075,3.85245901639344,3.73333333333333
"ngeow",3.54411764705882,5.8,2.64285714285714,3.24324324324324
"nia",5.23529411764706,5.17910447761194,1.56,2.75
"nia gong",4.47222222222222,5.625,2.11111111111111,3.10526315789474
"nia gong de ji dan",3.96875,6.38461538461539,2.26315789473684,3.5
"no eye see",4.375,5.51515151515152,2.80392156862745,3.30188679245283
"no horse run",4.87878787878788,5.36666666666667,2.36363636363636,3.18518518518519
"nua",6.75308641975309,4.43421052631579,3.10344827586207,3.19298245614035
"obiang",4,5.44186046511628,2.57575757575758,3.1875
"orbi",4.15384615384615,5.40476190476191,2.09090909090909,3
"orh",5.31034482758621,4.1358024691358,1.6984126984127,2.83870967741935
"orh hor",4.59550561797753,6.34567901234568,1.84126984126984,3.70967741935484
"oso",5.62352941176471,4.175,2.13793103448276,2.67213114754098
"ownself",5.42222222222222,4.05,3.09677419354839,2.62903225806452
"pai kia",3.64772727272727,6.06172839506173,3.53968253968254,3.31147540983607
"pai tao",3.41666666666667,5.88235294117647,2.61111111111111,2.8974358974359
"paiseh",4.86666666666667,5.09756097560976,2.53968253968254,2.83870967741935
"pak chiu cheng",5,5.54838709677419,3.29411764705882,3.88888888888889
"pak tor",6.30379746835443,5.84285714285714,3.8,3.0655737704918
"pak zam",4.6,5.32258064516129,3.68181818181818,2.8
"pang chance",5.10909090909091,5.54545454545455,2.53125,3.16666666666667
"pang jio",4.77358490566038,5.44897959183673,3.23076923076923,2.75675675675676
"pang sai",4.70786516853933,5.65853658536585,4.09523809523809,3.56451612903226
"pang seh",3.79487179487179,6.03076923076923,2.97916666666667,3.14035087719298
"pariah",3.71428571428571,5.75,2.83333333333333,2.58333333333333
"pasar malam",7.54444444444444,5.40243902439024,4.3968253968254,2.08064516129032
"photostat",5.02325581395349,4.13636363636364,3.67567567567568,2.76923076923077
"pia",5.05555555555556,5.02702702702703,3.04545454545455,2.84615384615385
"piak piak",4.96428571428571,6.33333333333333,3.66666666666667,3.83606557377049
"pok kai",3.56,6.1875,2.97142857142857,3.64102564102564
"pon",5.875,5.75324675324675,3.03225806451613,3.14516129032258
"puki",4.63636363636364,6.2,2.95652173913043,3.46153846153846
"rabak",4.67415730337079,6.0125,2.49180327868852,3.49180327868852
"sabo",3.28089887640449,6.12345679012346,3.14285714285714,3.09836065573771
"sakar",4.04761904761905,5.5,2.45454545454545,2.90909090909091
"sam seng",3.86666666666667,5.53333333333333,2.66666666666667,3.25925925925926
"saman",2.7972972972973,6.390625,4,2.59615384615385
"sampat",4.63636363636364,4.81395348837209,2.80769230769231,2.83870967741935
"see first",5.33707865168539,4.76829268292683,2.6984126984127,2.54838709677419
"see me no up",3.74576271186441,5.70588235294118,2.28571428571429,3.37142857142857
"see you very up",5.9,5.88059701492537,2.26923076923077,3.3265306122449
"sei",5.73529411764706,5.32258064516129,1.80851063829787,3
"sekali",5.74418604651163,5.0253164556962,1.66666666666667,3.29508196721311
"shame shame",3.85714285714286,5.725,2.70491803278689,3.3448275862069
"shiok",7.87777777777778,6,2.93650793650794,3.03225806451613
"showflat",5.375,4.53333333333333,3.77777777777778,2.12121212121212
"si mi lan jiao",3.88636363636364,6.84615384615385,1.87096774193548,3.7258064516129
"si mi tai dzi",4.51724137931035,6.30864197530864,2.07936507936508,3.67213114754098
"sia",5.9,4.75609756097561,1.59677419354839,2.70967741935484
"siam",4.50574712643678,5.89024390243902,3.5,3.03225806451613
"sian",4.32222222222222,4.75609756097561,2.73015873015873,2.85483870967742
"siao",4.81111111111111,6.41463414634146,2.95161290322581,3.45161290322581
"sibei",5.37078651685393,6.16049382716049,1.95238095238095,3.24193548387097
"simi",5.06666666666667,5.81707317073171,2,3.16129032258065
"sod",4.05769230769231,6,2.74285714285714,3.85714285714286
"song",6.33333333333333,4.54237288135593,2.96969696969697,2.75862068965517
"sor zai",4.23529411764706,5.70967741935484,2.84615384615385,3.08695652173913
"sotong",4.52808988764045,4.79268292682927,3.22222222222222,3.59016393442623
"steady pom pi pi",6.14285714285714,5.45454545454545,2.20967741935484,3.6
"suay",3.74157303370787,5.7037037037037,2.58333333333333,3.01612903225806
"sui",5.26760563380282,5.94444444444444,2.46153846153846,3.02
"suka",5.76744186046512,5.17105263157895,2.33333333333333,3.21052631578947
"swaku",4.27692307692308,5.63333333333333,2.95652173913043,3.36
"swee",7.27586206896552,6.06329113924051,2.1864406779661,3.14516129032258
"tahan",4.94444444444444,4.81707317073171,2.77777777777778,2.7258064516129
"tak boleh",4.70731707317073,5.05194805194805,2.57894736842105,2.98275862068966
"tak boleh tahan",4.44705882352941,5.73076923076923,2.76666666666667,3.33898305084746
"talk cock",5.32222222222222,5.92682926829268,3.07936507936508,3.67741935483871
"tan ku ku",4.78723404255319,5.66666666666667,2.4,3.66666666666667
"tau pok",5.76623376623377,4.90540540540541,4.14035087719298,2.55172413793103
"teh",7.26136363636364,4.36708860759494,4.24137931034483,2.08620689655172
"tekan",3.4,6.26388888888889,2.98245614035088,2.9344262295082
"tembalik",5.15942028985507,5.25925925925926,3.34042553191489,3.18181818181818
"tio",4.95652173913043,5.53225806451613,2.39622641509434,2.77358490566038
"toot",4.8030303030303,5.66666666666667,2.3125,3.58823529411765
"towkay",5.25675675675676,4.90625,3.43636363636364,2.56896551724138
"tua kee",4.75,5.07692307692308,2.83333333333333,2.75
"tuang",4.72727272727273,4.94444444444444,2.66666666666667,2.58823529411765
"tyco",5.70833333333333,5.40540540540541,2.52777777777778,2.72727272727273
"ulu",4.07954545454545,5.14814814814815,3.24193548387097,2.66129032258065
"un",4.92307692307692,4.46428571428571,1.69230769230769,2.55
"up lorry",4.92307692307692,4.64,2.70588235294118,2.45454545454545
"very the",5.28235294117647,5.30263157894737,1.88709677419355,3.21311475409836
"vomit blood",4,6.28048780487805,2.95238095238095,3.35483870967742
"wa kao",4.64864864864865,6.80597014925373,1.98076923076923,3.48148148148148
"wa(h) lan",4.32926829268293,6.23684210526316,1.85964912280702,3.29310344827586
"wah lao (wa lau)",5.33333333333333,6.32926829268293,1.79365079365079,3.38709677419355
"wah seh",6,6.04938271604938,1.93650793650794,3.2741935483871
"wayang",3.7625,6.06944444444444,2.76271186440678,3.1551724137931
"white horse",4.81034482758621,5.18181818181818,3.34883720930233,2.66666666666667
"xia lan",3.825,5.94594594594595,2.34615384615385,2.70833333333333
"xia suay",3.57692307692308,6.26086956521739,2.6,3.29824561403509
"yandao",6.46551724137931,6.0625,3.47368421052632,3.31707317073171
"yaya papaya",3.88636363636364,5.7037037037037,2.38095238095238,3.5
"your head",4.71111111111111,6.15853658536585,2.20634920634921,3.95161290322581
"zai",6.95121951219512,5.72972972972973,2.58064516129032,3.05
"zao hor",5.08333333333333,5.325,2.7,2.82758620689655
"zao kng",4.30952380952381,5.53488372093023,2.82352941176471,3.125
"zha bor",4.83908045977012,5.79012345679012,4.03225806451613,2.80645161290323
"zhun",6.3125,5.0958904109589,2.53703703703704,2.69090909090909
"zi siao",4.375,5.66666666666667,2.4,3.18181818181818
